Technology,CAPEX ($/kW),Economic Life (Years),FCR (%),Capital Recovery ($/kW-yr),Fixed O&M ($/kW-yr),Capacity Factor (%),Variable O&M ($/MWh),Fuel Cost ($/MWh),Calculated LCOE ($/MWh)
Solar PV (Utility),"$1,000",30,7.20%,72,$15,30%,$0.00,$0.00,$33.11
Wind (Onshore),"$1,200",30,7.20%,86,$40,40%,$0.00,$0.00,$36.07
Gas Combined Cycle,"$1,100",30,7.20%,79,$15,60%,$2.00,$30.00,$49.92
Wind (Offshore),"$3,500",30,7.20%,252,$100,45%,$0.00,$0.00,$89.30
Coal (New Build),"$4,000",40,7.20%,288,$50,60%,$5.00,$25.00,$94.31
Nuclear (New Build),"$7,000",60,7.20%,504,$120,90%,$3.00,$8.00,$90.15
